provincia|partido|localidad|nombre_localidad|cod_2024
06|623|060|LA VIOLETA|
06|623|070|MANUEL OCAMPO|
06|623|080|MARIANO BENITEZ|
06|623|090|MARIANO H. ALFONZO|
06|623|100|PERGAMINO|
06|623|110|PINZON|
06|623|120|RANCAGUA|
06|623|130|EL SOCORRO|
06|623|140|VILLA SAN JOSE|
06|630|010|PILA|
06|630|020|CASALINS|
06|638|040|PILAR|
06|644|010|PINAMAR|
06|644|020|MONTECARLO|
06|648|010|PRESIDENTE PERON|
06|651|010|AZOPARDO|
06|651|020|BORDENAVE|
06|651|030|DARREGUEIRA|
06|651|040|17 DE AGOSTO|
06|651|050|ESTELA|
06|651|060|FELIPE SOLA|
06|651|070|LOPEZ LECUBE|
06|651|080|PUAN|
06|651|090|SAN GERMAN|
06|651|100|ERIZE|
06|651|110|VILLA IRIS|
06|655|010|ALVAREZ JONTE|
06|655|015|BASE AERONAVAL PUNTA INDIO|
06|655|030|PIPINAS|
06|655|040|PUNTA INDIO|
06|655|050|VERONICA|
06|655|060|LA VIRUTA|
06|658|010|QUILMES|
06|665|010|EL PARAISO|
06|665|020|LAS BAHAMAS|
06|665|030|PEREZ MILLAN|
06|665|040|RAMALLO|
06|665|050|VILLA GENERAL SAVIO|
06|672|010|RAUCH|
06|672|020|MARTIN COLMAN|
06|672|030|MIRANDA|
06|679|010|AMERICA|
06|679|020|FORTIN OLAVARRIA|
06|679|030|GONZALEZ MORENO|
06|679|040|MIRA PAMPA|
06|679|050|ROOSEVELT|
06|679|060|SAN MAURICIO|
06|679|070|SANSINENA|
06|679|080|SUNDBLAD|
06|686|010|LA BEBA|
06|686|020|LAS CARABELAS|
06|686|030|LOS INDIOS|
06|686|040|RAFAEL OBLIGADO|
06|686|050|ROBERTO CANO|
06|686|060|ROJAS|
06|686|070|SOL DE MAYO|
06|686|080|VILLA MANUEL POMAR|
06|693|010|CARLOS BEGUERIE|
06|693|020|ROQUE PEREZ|
06|700|010|ARROYO CORTO|
06|700|020|COLONIA SAN MARTIN|
06|700|030|DUFAUR|
06|700|040|ESPARTILLAR|
06|700|050|GOYENA|
06|700|055|LAS ENCADENADAS|
06|700|060|PIG├£E|
06|700|070|SAAVEDRA|
06|700|090|CLUB DE PESCA SAAVEDRA|
06|707|010|ALVAREZ DE TOLEDO|
06|707|030|CAZON|
06|707|040|DEL CARRIL|
06|707|050|POLVAREDAS|
06|707|060|SALADILLO|
06|714|010|ARROYO DULCE|
06|714|020|BERDIER|
06|714|030|GAHAN|
06|714|040|INES INDART|
06|714|050|LA INVENCIBLE|
06|714|060|SALTO|
06|721|010|QUENUMA|
06|721|020|SALLIQUELO|
06|728|010|AZCUENAGA|
06|728|020|CUCULLU|
06|728|030|FRANKLIN|
06|728|040|SAN ANDRES DE GILES|
06|728|050|SOLIS|
06|728|060|VILLA ESPIL|
06|728|070|VILLA RUIZ|
06|728|080|CHACRAS DE VILLA ESPIL|
06|735|010|DUGGAN|
06|735|020|SAN ANTONIO DE ARECO|
06|735|030|VILLA LIA|
06|735|040|VAGUES|
06|742|010|BALNEARIO SAN CAYETANO|
06|742|020|OCHANDIO|
06|742|030|SAN CAYETANO|
06|742|040|CRISTIANO MUERTO|
06|749|010|SAN FERNANDO|
06|756|010|SAN ISIDRO|
06|760|010|SAN MIGUEL|
06|763|010|CONESA|
06|763|020|EREZCANO|
06|763|030|GENERAL ROJO|
06|763|050|SAN NICOLAS DE LOS ARROYOS|
06|763|060|VILLA ESPERANZA|
06|770|010|GOBERNADOR CASTRO|
06|770|015|INGENIERO MONETA|
06|770|020|OBLIGADO|
06|770|030|PUEBLO DOYLE|
06|770|040|RIO TALA|
06|770|050|SAN PEDRO|
06|770|060|SANTA LUCIA|
06|778|010|DOMSELAAR|
06|778|015|EL LAUQUEN - PRINCIPADO|
06|778|020|SAN VICENTE|
06|778|030|SANTA RITA - SAN LUCAS|
06|784|010|GENERAL RIVAS|
06|784|020|SUIPACHA|
06|791|010|DE LA CANAL|
06|791|030|GARDEY|
06|791|040|MARIA IGNACIA|
06|791|050|TANDIL|
06|791|060|AZUCENA|
06|791|070|FULTON|
06|791|080|IRAOLA|
06|791|090|BARRIO CERRADO LA MATA|
06|798|010|CROTTO|
06|798|020|TAPALQUE|
06|798|030|VELLOSO|
06|805|010|TIGRE|
06|812|010|GENERAL CONESA|
06|812|020|VILLA ROCH|
06|819|010|CHASICO|
06|819|020|SALDUNGARAY|
06|819|030|SIERRA DE LA VENTANA|
06|819|040|TORNQUIST|
06|819|050|TRES PICOS|
06|819|060|VILLA SERRANA LA GRUTA|
06|819|070|VILLA VENTANA|
06|819|100|PELICURA|
06|819|110|CLUB DE PESCA PIG├£├ë|
06|826|010|BERUTTI|
06|826|020|GIRODIAS|
06|826|030|LA CARRETA|
06|826|040|30 DE AGOSTO|
06|826|050|TRENQUE LAUQUEN|
06|826|060|TRONGE|
06|826|070|GARRE NORTE|
06|833|010|BALNEARIO ORENSE|
06|833|020|CLAROMECO|
06|833|030|COPETONAS|
06|833|050|MICAELA CASCALLARES|
06|833|060|ORENSE|
06|833|070|RETA|
06|833|080|SAN FRANCISCO DE BELLOCQ|
06|833|090|SAN MAYOL|
06|833|100|TRES ARROYOS|
06|833|110|VILLA RODRIGUEZ|
06|840|010|TRES DE FEBRERO|
06|847|010|PEDRO M. MORENO|
06|847|020|TRES LOMAS|
06|854|010|AGUSTIN MOSCONI|
06|854|020|DEL VALLE|
06|854|030|ERNESTINA|
06|854|040|GOBERNADOR UGARTE|
06|854|050|LUCAS MONTEVERDE|
06|854|060|NORBERTO DE LA RIESTRA|
06|854|070|PEDERNALES|
06|854|080|SAN ENRIQUE|
06|854|090|VALDES|
06|854|100|25 DE MAYO|
06|861|010|VICENTE LOPEZ|
06|868|020|VILLA GESELL|
06|868|030|EL SALVAJE|
06|875|010|ARGERICH|
06|875|025|COUNTRY CLUB LOS MEDANOS|
06|875|030|HILARIO ASCASUBI|
06|875|040|JUAN COUSTE|
06|875|050|MAYOR BURATOVICH|
06|875|060|MEDANOS|
06|875|070|PEDRO LURO|
06|875|080|TENIENTE ORIGONE|
06|875|090|LAGO PARQUE LA SALADA|
06|875|100|COLONIA SAN ADOLFO|
06|875|110|CHAPALCO|
06|882|040|LIMA|
06|882|050|ZARATE|
06|882|060|BARRIO EL MANGRULLO|
06|882|070|CHACRAS DE OLIVIA|
06|882|080|CHACRAS DEL PARANA|
06|882|090|PUENTE URQUIZA|
06|882|100|PUERTO PANAL|
06|882|110|RUTA 9 KM 107|
06|882|120|ACCESO A LIMA|
