provincia|calle|nombre_calle|cod_2024
2|4505|DON CRISTOBAL|4085
2|1625|AV PEDRO DE MENDOZA|13072
2|4510|DON SEGUNDO SOMBRA|4087
2|4515|DONADO|4082
2|4520|DONIZETTI|4086
2|1260|AV DORREGO|4089
2|7695|LUIS MARIA DRAGO|4090
2|4765|DRAGONES|4091
2|4770|DRUMOND|4092
2|6960|JUAN PABLO DUARTE|4093
2|4775|DUBLIN|4094
2|345|ALEJANDRO DUMAS|4095
2|10445|SANTOS DUMONT|4096
2|9880|REPUBLICA DE ESLOVENIA|4096
2|4780|DUPUY|4097
2|6450|ING CARLOS ECHAGUE|5002
2|9215|PEDRO ECHAGUE|5003
2|4790|ECHAURI|5004
2|4795|ECHEANDIA|5005
2|4800|ECHENAGUCIA|5006
2|4805|ECHEVERRIA|5007
2|4810|ECUADOR|5001
2|1760|AV TOMAS A EDISON|5009
2|7860|MANUEL EGUIA|5011
2|325|ALBERTO EINSTEIN|5013
2|4865|EL ALFABETO|5014
2|4870|EL ARAUCANO|5015
2|4875|EL ARTESANO|5016
2|4880|EL CARDENAL|5018
2|4885|EL CARPINTERO|5019
2|4890|EL CEIBO|5020
2|4895|EL CERRO|5021
2|4900|EL CHACHO|5024
2|4905|EL CHASQUE|5025
2|4910|VITO DUMAS|5022
2|4915|EL CRIOLLO|5023
2|4920|EL DELTA|5026
2|4925|EL DOMADOR|5027
2|4930|EL FOGON|5028
2|4935|EL FUERTE|5029
2|4940|EL GAUCHO|5030
2|4945|EL HORNERO|5031
2|4950|EL LAZO|
